数据集,Datasets,Cancer type,Platform,Sample,Drug,Response,Treatment
GSE203552,GSE15913,Leukemia,GPL570,20,Thalidomide,"9NR,11R",Immunotherapy
GSE171351,GSE35935,Leukemia,GPL570,62,Chlorambucil+Rituximab,"5NR,57R",Immunotherapy
GSE171351,GSE111636,Bladder Cancer,GPL17586,11,Pembrolizumab,"5NR,6R",Immunotherapy
HRA000437,GSE176178,Bladder Cancer,Illumina NextSeq 500,40,BCG vaccine,"23NR,17R","Chemotherapy,Immunotherapy"
GSE203612,GSE244895,Bladder Cancer,Illumina NovaSeq 6000,13,BCG vaccine,"10NR,3R",Immunotherapy
GSE182867,EGAS0000100,Non-Small Cell Lung Cancer,TruSeq RNA Access technology,47,Anti-PD1,"1 CR,12 PR, 34 PD",Immunotherapy
GSE194329,EGAS00001005,Non-Small Cell Lung Cancer,TruSeq RNA Access technology,207,Anti-PD1,"4 CR,44 PR, 159 PD",Immunotherapy
GSE195661,GSE126044,Non-Small Cell Lung Cancer,Illumina HiSeq 2500,16,Nivolumab,"5R,11NR",Immunotherapy
VISDP000154,GSE135222,Non-Small Cell Lung Cancer,Illumina HiSeq 2500,27,Anti-PD-1,"8R,19NR",Immunotherapy
GSE225857,GSE166449,Non-Small Cell Lung Cancer,Illumina HiSeq 2000,22,Pembrolizumab,"7R,15NR",Immunotherapy
VISDP000156,GSE216297,Non-Small Cell Lung Cancer,Illumina HiSeq 4000,286,Nivolumab,"88R,198NR",Immunotherapy
GSE203552,GSE33072,Non-Small Cell Lung Cancer,GPL6244,39,Sorafenib,"23R,16NR",Immunotherapy
GSE144239,GSE215011,Lung Cancer,GPL11154,10,Nivolumab,5R，5NR,Immunotherapy
GSE144239,GSE109211,Liver Cancer,GPL13938,67,Sorafenib,21R，46NR,Immunotherapy
GSE203612,GSE140901,Liver Cancer,GPL19965 Panel,24,Anti-PD-1,"8 PD,6 PR,10 SD",Immunotherapy
GSE227019,GSE56059,Liver Cancer,GPL8786,20,Sorafenib,"16 PR or SD,4 PD",Immunotherapy
GSE211956,TCGA-LIHC,Liver Cancer,,17,Sorafenib,"13PD, 3 PR, 1SD",Immunotherapy
