CTID,species,tissue_class,tissue_type,uberonongology_id,cancer_type,major_cell_type,cell_name,cellontology_id,marker,Symbol,GeneID,Genetype,Genename,UNIPROTID,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,Phenotype_label,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence,curator
CT001,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,SPP1+ macrophages,,,"SPP1,CD68,LUM,TIMP1",,,,,36708811,Identification of a tumour immune barrier in the HCC microenvironment that determines the efficacy of immunotherapy,Journal of hepatology,2023,spatial transcriptome,10 × Spatial,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,"Notably, patients with HCC and higher infiltration of SPP1+ macrophages had shorter overall survival in three independent cohorts (Fig. 3G and Fig. S4E-F) and shorter progression-free survival in the TCGA LIHC cohort (the only cohort with available progression-free survival information) (Fig. S4G).",
CT002,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,SPP1+ macrophages,,,"SPP1,CD68,LUM,TIMP1",,,,,36708811,Identification of a tumour immune barrier in the HCC microenvironment that determines the efficacy of immunotherapy,Journal of hepatology,2023,spatial transcriptome,10 × Spatial,Biological phenotype,immuno suppression,clinical samples,multiplex immunohistochemistry,"SignalStain® Boost
IHC",protein,"mIHC staining showed that SPP1+ macrophages tended to localize at the tumour boundary, whereas CD8+ T cells localized outside the TIB rather than in the tumour core of ICB non-responders (Fig. 5H), while there was less infiltration of SPP1+ macrophages and more infiltration of CD8+ T cells in the tumours of responders (Fig. 5I).",
CT003,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,SPP1+ macrophages,,,"SPP1,CD68,LUM,TIMP1",,,,,36708811,Identification of a tumour immune barrier in the HCC microenvironment that determines the efficacy of immunotherapy,Journal of hepatology,2023,spatial transcriptome,10 × Spatial,Biological phenotype,immuno suppression,mice,multiplex immunohistochemistry,"SignalStain® Boost
IHC",protein,"the anti-SPP1 and anti-PD-1 combination dramatically increased the overall survival of tumour-bearing GDL mice (Fig. 6I). Further-more, the combination of anti-SPP1 and anti-PD-1 treatment also markedly reduced the proportion of aSMA+ ﬁbroblasts and increased the proportion of CD8+ T cells in the tumour region (Fig. 6J). In addition, we validated the blockade of SPP1 (Fig. S8F-H) or conditional knockout of macrophage-speciﬁc deletion of Spp1 in mice",
CT004,Human,Liver,Liver,,Hepatocelluar carcinoma,Fibroblast,Cancer-associated fibroblast,,,"SPP1,CD68,LUM,TIMP2",,,,,36708811,Identification of a tumour immune barrier in the HCC microenvironment that determines the efficacy of immunotherapy,Journal of hepatology,2023,spatial transcriptome,10 × Spatial,Biological phenotype,immuno suppression,mice,multiplex immunohistochemistry,"SignalStain® Boost
IHC",protein,"the anti-SPP1 and anti-PD-1 combination dramatically increased the overall survival of tumour-bearing GDL mice (Fig. 6I). Further-more, the combination of anti-SPP1 and anti-PD-1 treatment also markedly reduced the proportion of aSMA+ ﬁbroblasts and increased the proportion of CD8+ T cells in the tumour region (Fig. 6J). In addition, we validated the blockade of SPP1 (Fig. S8F-H) or conditional knockout of macrophage-speciﬁc deletion of Spp1 in mice",
CT005,Human,Liver,Liver,,Hepatocelluar carcinoma,T cell,CD4+ TCM,,,"IL7R,ANXA1,CCR7,LTB,CXCR4,CRIP1,TSC22D3,CD2,RP11-138A9.2,CCR6",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"Clinical relevance analysis showed that higher abundances of CD4+ TCM or CD20+ B cells in tumors are associated with improved patient’s survival (Fig. 2d and Supplementary Fig. 4e), supporting their antitumor activities.",
CT006,Human,Liver,Liver,,Hepatocelluar carcinoma,T cell,CD4+ TCM,,,"IL7R,ANXA1,CCR7,LTB,CXCR4,CRIP1,TSC22D3,CD2,RP11-138A9.2,CCR6",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,existence,clinical samples,immunohistochemistry,"IHC Kit (PerkinElmer, USA)",protein,"Indeed, the coexistence of CD8+ T, CD4+ TCM and CD20+ B cell aggregates is detected in four out of nine patients assessed by immunohistochemistry (IHC) assays (Fig. 2b and Supplementary Fig. 3d).",
CT007,Human,Liver,Liver,,Hepatocelluar carcinoma,B cell,CD20+ B cells,,,"MS4A1,CD79A,GPR183,BANK1,LY9,SMIM14,TNFRSF13C,RP5-887A10.1,EZR,CD37",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,longer survival,clinical samples,survival analysis,analysis,clinical data,"Clinical relevance analysis showed that higher abundances of CD4+ TCM or CD20+ B cells in tumors are associated with improved patient’s survival (Fig. 2d and Supplementary Fig. 4e), supporting their antitumor activities.",
CT008,Human,Liver,Liver,,Hepatocelluar carcinoma,B cell,CD20+ B cells,,,"MS4A1,CD79A,GPR183,BANK1,LY9,SMIM14,TNFRSF13C,RP5-887A10.1,EZR,CD37",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,existence,clinical samples,immunohistochemistry,"IHC Kit (PerkinElmer, USA)",clinical data,"Indeed, the coexistence of CD8+ T, CD4+ TCM and CD20+ B cell aggregates is detected in four out of nine patients assessed by immunohistochemistry (IHC) assays (Fig. 2b and Supplementary Fig. 3d).",
CT009,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,MMP9+ macrophages,,,"MMP9,SPP117,ITGAM,CD45,CD68",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,We further examined the clinical relevance of these two subtypes of TAMs in two additional HCC cohorts and found that higher abundance of MMP9+ TAMs in tumors is strongly associated with worse overall survival.,
CT010,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,MMP9+ macrophages,,,"MMP9,SPP117,ITGAM,CD45,CD68",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Biological phenotype,migration,cell line,co-culture,"Proteintech,Abcam",protein,"We observed that co-culturing with MMP9+ TAMs significantly promoted themigration and invasion ofHCC cells and the tube formation of human umbilical vein endothelial cells (HUVECs) (Fig. 3d–f and Supplementary Fig. 7a, b), suggesting that the MMP9+ TAMs could promote HCC progression through inducing HCC cells migration, invasion, and tumor angiogenesis.",
CT011,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,MMP9+ macrophages,,,"MMP9,SPP117,ITGAM,CD45,CD68",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Biological phenotype,invasion,cell line,co-culture,"Proteintech,Abcam",protein,"We observed that co-culturing with MMP9+ TAMs significantly promoted themigration and invasion ofHCC cells and the tube formation of human umbilical vein endothelial cells (HUVECs) (Fig. 3d–f and Supplementary Fig. 7a, b), suggesting that the MMP9+ TAMs could promote HCC progression through inducing HCC cells migration, invasion, and tumor angiogenesis.",
CT012,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,MMP9+ macrophages,,,"MMP9,SPP117,ITGAM,CD45,CD68",,,,,35933472,A single-cell atlas of the multicellular ecosystem of primary and metastatic hepatocellular carcinoma,nature communications,2022,single cell transcriptome,10× Genomics,Biological phenotype,angiogenesis,cell line,co-culture,"Proteintech,Abcam",protein,"We observed that co-culturing with MMP9+ TAMs significantly promoted themigration and invasion ofHCC cells and the tube formation of human umbilical vein endothelial cells (HUVECs) (Fig. 3d–f and Supplementary Fig. 7a, b), suggesting that the MMP9+ TAMs could promote HCC progression through inducing HCC cells migration, invasion, and tumor angiogenesis.",
CT013,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,SPP1+ macrophages,,," CD68, MAFB, CSF1R, CD14 ",,,,,35303421,Immune phenotypic linkage between colorectal cancer and liver metastasis,Cancer Cell,2022,single cell transcriptome,10× Genomics and Smart-seq2,Clinical phenotype,shorter survival,clinical samples,survival analysis,analysis,clinical data,Patients with higher levels of SPP1 alone or of the signature of SPP1+ TAMs were associated with worse overall survival (OS) in treatment-naive patients (Figures 5E and 5F).,
CT014,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,SPP1+ macrophages,,," CD68, MAFB, CSF1R, CD14 ",,,,,35303421,Immune phenotypic linkage between colorectal cancer and liver metastasis,Cancer Cell,2022,single cell transcriptome,10× Genomics and Smart-seq2,Clinical phenotype,higher proportion,clinical samples,Flow cytometry,Flow cytometry,protein,"The florescence-activated cell sorting (FACS) analysis further validated that SPP1+ TAMs were enriched in Liv.Mets despite their absence in non-metastatic HCC, and such enrichment in metastatic tumors was even higher compared with matched primary CRC tumors",
CT015,Human,Liver,Liver,,Hepatocelluar carcinoma,Macrophages,SPP1+ macrophages,,," CD68, MAFB, CSF1R, CD14 ",,,,,35303421,Immune phenotypic linkage between colorectal cancer and liver metastasis,Cancer Cell,2022,single cell transcriptome,10× Genomics and Smart-seq2,Clinical phenotype,higher proportion,clinical samples,immunohistochemistry,Abcam,protein,"Multicolor immunohistochemistry (IHC) also confirmed the existence of this TAM subset, indicated by the co-expression of CD68 and MARCO at both Pri.CT (Figure S5E) and Liv.Mets.",
