Main_function,Function,Method,Function_detail,Github,Paper,PMID,Technology
Analysis of intrinsic characteristics of tumors,Estimate tumor purity,ABSOLUTE,"The Broad Institute has developed a cancer CNV analysis software, which is essentially an R package, which can quantify the absolute copy number of cells, tumor purity and ploidy, and if mutation data is provided, it can also explore clones and subclonals.",https://software.broadinstitute.org/cancer/cga/absolute；https://github.com/seqanswers/absCNseq,"Carter SL, Cibulskis K, Helman E, McKenna A, Shen H, Zack T, Laird PW, Onofrio RC, Winckler W, Weir BA, Beroukhim R, Pellman D, Levine DA, Lander ES, Meyerson M, Getz G. Absolute quantification of somatic DNA alterations in human cancer. Nat Biotechnol. 2012 May;30(5):413-21. doi: 10.1038/nbt.2203. PMID: 22544022; PMCID: PMC4383288.",22544022,基因组学（somatic DNA alteration）
Analysis of intrinsic characteristics of tumors,Estimate tumor purity,qpure,a compact and fast method for predicting tumor purity (cancer cell fraction) from bulk gene expression data. ,https://sourceforge.net/projects/qpure/；https://github.com/skandlab/PUREE,"Song S, Nones K, Miller D, Harliwong I, Kassahn KS, Pinese M, Pajic M, Gill AJ, Johns AL, Anderson M, Holmes O, Leonard C, Taylor D, Wood S, Xu Q, Newell F, Cowley MJ, Wu J, Wilson P, Fink L, Biankin AV, Waddell N, Grimmond SM, Pearson JV. qpure: A tool to estimate tumor cellularity from genome-wide single-nucleotide polymorphism profiles. PLoS One. 2012;7(9):e45835. doi: 10.1371/journal.pone.0045835. Epub 2012 Sep 25. PMID: 23049875; PMCID: PMC3457972.",23049875,转录组学bulk
Analysis of intrinsic characteristics of tumors,Estimate tumor purity,ESTIMATE,"provides researchers with scores for tumor purity, the level of stromal cells present, and the infiltration level of immune cells in tumor tissues based on expression data",https://github.com/oicr-gsi/ESTIMATE,"Yoshihara K, Shahmoradgoli M, Martínez E, Vegesna R, Kim H, Torres-Garcia W, Treviño V, Shen H, Laird PW, Levine DA, Carter SL, Getz G, Stemke-Hale K, Mills GB, Verhaak RG. Inferring tumour purity and stromal and immune cell admixture from expression data. Nat Commun. 2013;4:2612. doi: 10.1038/ncomms3612. PMID: 24113773; PMCID: PMC3826632.",24113773,转录组学bulk
Analysis of intrinsic characteristics of tumors,Estimate tumor purity,LUMP,LUMP defines tumor purity based on the immunospecific CpG site of the tumor's nonmethylation,https://github.com/yeswzc/LUMP/,"Aran D, Sirota M, Butte AJ. Systematic pan-cancer analysis of tumour purity. Nat Commun 2015;6(1):1–12.",26634437,转录组学bulk
Analysis of intrinsic characteristics of tumors,Estimate tumor purity,CPE,"CONSISTENT PURITY ESTIMATION (CPE) IS A METHOD FOR DETERMINING TUMOR PURITY BASED ON A COMBINATION OF ABSOLUTE, ESTIMATE, LUMP AND IHC",？？,,,
Analysis of intrinsic characteristics of tumors,Estimating intragenomic heterogeneity (ITH) in tumors,PyClone,Probabilistic model for inferring clonal population structure from deep NGS sequencing.,https://github.com/Roth-Lab/pyclone,"Roth A, Khattra J, Yap D, Wan A, Laks E, Biele J, Ha G, Aparicio S, Bouchard-Côté A, Shah SP. PyClone: statistical inference of clonal population structure in cancer. Nat Methods. 2014 Apr;11(4):396-8. doi: 10.1038/nmeth.2883. Epub 2014 Mar 16. PMID: 24633410; PMCID: PMC4864026.",24633410,转录组学sc
Analysis of intrinsic characteristics of tumors,Estimating intragenomic heterogeneity (ITH) in tumors,SciClone,An R package for inferring the subclonal architecture of tumors,https://github.com/genome/sciclone,"Miller CA, White BS, Dees ND, Griffith M, Welch JS, Griffith OL, Vij R, Tomasson MH, Graubert TA, Walter MJ, Ellis MJ, Schierding W, DiPersio JF, Ley TJ, Mardis ER, Wilson RK, Ding L. SciClone: inferring clonal architecture and tracking the spatial and temporal patterns of tumor evolution. PLoS Comput Biol. 2014 Aug 7;10(8):e1003665. doi: 10.1371/journal.pcbi.1003665. PMID: 25102416; PMCID: PMC4125065.",25102416,转录组学sc
Analysis of intrinsic characteristics of tumors,Estimating intragenomic heterogeneity (ITH) in tumors,BattenBerg,Battenberg R package for subclonal copynumber estimation,https://github.com/Wedge-lab/battenberg,,,
Analysis of intrinsic characteristics of tumors,Estimating intragenomic heterogeneity (ITH) in tumors,HATCHet,"R package for tumor genome analysis, specifically for estimating tumor purity and copy number variation (CNV)",https://github.com/raphael-group/hatchet,"Myers MA, Arnold BJ, Bansal V, Balaban M, Mullen KM, Zaccaria S, Raphael BJ. HATCHet2: clone- and haplotype-specific copy number inference from bulk tumor sequencing data. Genome Biol. 2024 May 21;25(1):130. doi: 10.1186/s13059-024-03267-x. PMID: 38773520; PMCID: PMC11110434.",38773520,bulk DNA测序
Analysis of intrinsic characteristics of tumors,Estimating intragenomic heterogeneity (ITH) in tumors,FastClone,"a fast algorithm to infer tumour heterogeneity. Given somatic mutation frequencies and copy number data, FastClone infers subclonal composition and phylogeny.",https://github.com/GuanLab/FastClone_GuanLab,"Xiao Y, Wang X, Zhang H, Ulintz PJ, Li H, Guan Y. FastClone is a probabilistic tool for deconvoluting tumor heterogeneity in bulk-sequencing samples. Nat Commun. 2020 Sep 8;11(1):4469. doi: 10.1038/s41467-020-18169-2. PMID: 32901013; PMCID: PMC7478963.",32901013,基因组学（somatic mutation frequencies and copy number data）
Analysis of intrinsic characteristics of tumors,Neoantigen pipelines,pVAC-Seq,a cancer immunotherapy suite consisting of the following tools: pVACseq. A cancer immunotherapy pipeline for identifying and prioritizing neoantigens from a VCF file.,https://github.com/griffithlab/pVACtools,"Hundal J, Carreno BM, Petti AA, Linette GP, Griffith OL, Mardis ER, Griffith M. pVAC-Seq: A genome-guided in silico approach to identifying tumor neoantigens. Genome Med. 2016 Jan 29;8(1):11. doi: 10.1186/s13073-016-0264-5. PMID: 26825632; PMCID: PMC4733280.",26825632,基因和转录组学（DNA and RNA-seq）
Analysis of intrinsic characteristics of tumors,Neoantigen pipelines,CloudNeo,A cloud pipeline for identifying patient-specific tumor neoantigens,https://github.com/TheJacksonLaboratory/CloudNeo,"Bais P, Namburi S, Gatti DM, Zhang X, Chuang JH. CloudNeo: a cloud pipeline for identifying patient-specific tumor neoantigens. Bioinformatics. 2017 Oct 1;33(19):3110-3112. doi: 10.1093/bioinformatics/btx375. PMID: 28605406; PMCID: PMC5870764.",28605406,基因组学next generation sequencing data
Analysis of intrinsic characteristics of tumors,Neoantigen pipelines,TLminer,？？,？？,,,
Analysis of intrinsic characteristics of tumors,Neoantigen pipelines,ScanNeo,A pipeline for identifying indel derived neoantigens using RNA-Seq data,https://github.com/ylab-hi/ScanNeo,"Wang TY, Wang L, Alam SK, Hoeppner LH, Yang R. ScanNeo: identifying indel-derived neoantigens using RNA-Seq data. Bioinformatics. 2019 Oct 15;35(20):4159-4161. doi: 10.1093/bioinformatics/btz193. PMID: 30887025.",30887025,转录组学（RNA-seq）
Analysis of intrinsic characteristics of tumors,Neoantigen pipelines,NeoFuse,NeoFuse is a user-friendly pipeline for the prediction of fusion neoantigens from tumor RNA-seq data.,https://github.com/icbi-lab/NeoFuse,"Fotakis G, Rieder D, Haider M, Trajanoski Z, Finotello F. NeoFuse: predicting fusion neoantigens from RNA sequencing data. Bioinformatics. 2020 Apr 1;36(7):2260-2261. doi: 10.1093/bioinformatics/btz879. PMID: 31755900; PMCID: PMC7141848.",31755900,转录组学（bulk RNA-seq）
Analysis of intrinsic characteristics of tumors,Neoantigen pipelines,pTuneos,prioritizing Tumor neoantigen from next-generation sequencing data,https://github.com/bm2-lab/pTuneos,"Zhou C, Wei Z, Zhang Z, Zhang B, Zhu C, Chen K, Chuai G, Qu S, Xie L, Gao Y, Liu Q. pTuneos: prioritizing tumor neoantigens from next-generation sequencing data. Genome Med. 2019 Oct 30;11(1):67. doi: 10.1186/s13073-019-0679-x. PMID: 31666118; PMCID: PMC6822339.",31666118,基因组学next generation sequencing data
Analysis of intrinsic characteristics of tumors,Neoantigen pipelines,nextNEOpi,a comprehensive pipeline for computational neoantigen prediction,https://github.com/icbi-lab/nextNEOpi,"Rieder D, Fotakis G, Ausserhofer M, René G, Paster W, Trajanoski Z, Finotello F. nextNEOpi: a comprehensive pipeline for computational neoantigen prediction. Bioinformatics. 2022 Jan 27;38(4):1131-1132. doi: 10.1093/bioinformatics/btab759. PMID: 34788790; PMCID: PMC8796378.",34788790,基因和转录组学（DNA and RNA-seq）
Analysis of intrinsic characteristics of tumors,Neoantigen pipelines,TSNAD,Detecting somatic mutations and predicting tumor-specific neo-antigens,https://github.com/jiujiezz/tsnad,"Zhou Z, Lyu X, Wu J, Yang X, Wu S, Zhou J, Gu X, Su Z, Chen S. TSNAD: an integrated software for cancer somatic mutation and tumour-specific neoantigen detection. R Soc Open Sci. 2017 Apr 5;4(4):170050. doi: 10.1098/rsos.170050. PMID: 28484631; PMCID: PMC5414268.",28484631,基因组学
Analysis of intrinsic characteristics of tumors,scDNA-seq tools,Monovar,Single nucleotide variant (SNV) detection and genotyping algorithm for single-cell DNA sequencing data,https://github.com/KChen-lab/MonoVar,"Zafar H, Wang Y, Nakhleh L, Navin N, Chen K. Monovar: single-nucleotide variant detection in single cells. Nat Methods. 2016 Jun;13(6):505-7. doi: 10.1038/nmeth.3835. Epub 2016 Apr 18. PMID: 27088313; PMCID: PMC4887298.",27088313,转录组学sc
Analysis of intrinsic characteristics of tumors,scDNA-seq tools,SCcaller,Single Cell Caller (SCcaller) - Identify single nucleotide variations (SNVs) from single cell sequencing data,https://github.com/biosinodx/SCcaller,"Dong X, Zhang L, Milholland B, Lee M, Maslov AY, Wang T, Vijg J. Accurate identification of single-nucleotide variants in whole-genome-amplified single cells. Nat Methods. 2017 May;14(5):491-493. doi: 10.1038/nmeth.4227. Epub 2017 Mar 20. PMID: 28319112; PMCID: PMC5408311.",28319112,转录组学sc
