Dataset,Cancer Type,Sample Type,Samples,Platform,Number of Cells,The average number of genes per cell
GSE201425,Cholangiocarcinoma,Fresh frozen tissue,4,10x,12036,1642
GSE123902,lung cancer,Fresh frozen tissue,13,10x,18597,1241
GSE143423,lung cancer,Fresh frozen tissue,3,10x,11388,1788
GSE186344,lung cancer,Fresh frozen tissue,3,10x,16275,2474
GSE234832,lung cancer,Fresh frozen tissue,2,10x,1138,1865
GSE149614,hepatocarcinoma,Fresh frozen tissue,10,10x,31029,2377
GSE151530,hepatocarcinoma,Fresh frozen tissue,25,10x,34287,1662
GSE149614,hepatocarcinoma,Fresh frozen tissue,10,10x,9932,3312
GSE184880,High-grade serous ovarian cancer,Fresh frozen tissue,7,10x,14512,1860
GSE197778,Testicular cancer,Fresh frozen tissue,3,10x,15511,1994
GSE139829,melanoma,Fresh frozen tissue,11,10x,35190,1684
GSE174401,melanoma,Fresh frozen tissue,44,10x,21465,1250
GSE186344,melanoma,Fresh frozen tissue,3,10x,10426,2552
GSE241184,Thyroid carcinoma,Fresh frozen tissue,2,10x,20326,1836
GSE132465,Colorectal cancer,Fresh frozen tissue,23,10x,63689,2063
GSE144735,Colorectal cancer,Fresh frozen tissue,6,10x,27414,1918
GSE183916,Colorectal cancer,Fresh frozen tissue,6,10x,20388,1752
GSE225857,Colorectal cancer,Fresh frozen tissue,13,10x,121310,1244
GSE195655,Squamous cell carcinoma of the oral cavity,Fresh frozen tissue,3,10x,3197,1041
GSE173682,Ovarian cancer,Fresh frozen tissue,6,10x,29625,1967
GSE186344,Ovarian cancer,Fresh frozen tissue,2,10x,7072,2434
GSE143791,prostate cancer,Fresh frozen tissue,9,10x,30294,1335
GSE193337,Prostate adenoma sample,Fresh frozen tissue,4,10x,5668,2024
GSE167036,breast cancer,Fresh frozen tissue,16,10x,96030,1297
GSE186344,breast cancer,Fresh frozen tissue,3,10x,16974,2140
GSE195861,breast cancer,Fresh frozen tissue,12,10x,25084,1536
GSE225600,breast cancer,Fresh frozen tissue,8,10x,35624,1369
GSE234832,breast cancer,Fresh frozen tissue,3,10x,1202,1813
GSE190772,Breast cancer,Fresh frozen tissue,2,10x,2315,3666
GSE188737,Squamous cell carcinoma of the head and neck,Fresh frozen tissue,14,10x,29563,1138
GSE234933,Squamous cell carcinoma of the head and neck,Fresh frozen tissue,35,10x,159748,1091
GSE156632,Clear cell renal cell carcinoma,Fresh frozen tissue,7,10x,33754,1347
GSE217084,Salivary adenoid cystic carcinoma,Fresh frozen tissue,4,10x,28262,2062
GSE183904,Gastric cancer,Fresh frozen tissue,48,10x,200954,1333
GSE140312,Gastroenteropancreatic neuroendocrine tumors,Fresh frozen tissue,2,10x,2210,1024
GSE197177,Pancreatic ductal adenocarcinoma,Fresh frozen tissue,7,10x,34859,1414
GSE162708,Pancreatic neuroendocrine tumors,Fresh frozen tissue,3,10x,4697,1337
GSE163558,Gastric cancer,Fresh frozen tissue,9,10x,31752,1587
