CTID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,big_cell_type,major_cell_type,cell_name,cell_marker,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,Association_Type,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
CT001,Human,Liver,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocelluar carcinoma,T cell,T cell,tumor-infiltrating Tregs,"FOXP3, CTLA4, TNFRSF18, TNFRSF4, CCR8",28622514,Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing,Cell,2017,single cell transcriptome,Smart-seq2,clinical phenotype,Survival,worse overall survival,,clinical samples,reduced disease-free survival rate,analysis,clinical data,"In addition, by interrogating the TCGA HCC survival data with respect to LAYN expression after normalizing the effect of T cell infiltration levels by total CD3 expression, we found that higher expression of LAYN was associated with reduced disease-free survival rate (p = 0.002, log rank test, Figure 4B)."
CT002,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,T cell,T cells,CD8+CD103+ TRM cell,"ITGAE, HAVCR2, PDCD1, CTLA4, TIGIT, LAG3, GZMB, PRF1",29942092,Single-cell profiling of breast cancer T cells reveals a tissue-resident memory subset associated with improved prognosis,Nature Medicine,2018,single cell transcriptome,10× Genomics,clinical phenotype,Survival,improved relapse-free and overall survival,,clinical samples,survival analysis,analysis,clinical data,"Using available gene expression data from the ‘METABRIC’ consortium, we found that the TRM signature was significantly associated with improved relapse-free and overall sur vival in 329 primary TNBCs after standard chemotherapy (Fig. 4). "
CT003,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Epithelial cell,epithelial cell,luminal progenitor (LP) cells,"KRT8, KRT1",30181541,Unravelling subclonal heterogeneity and aggressive disease states in TNBC through single-cell RNA-seq,Nature Communications,2018,single cell transcriptome,Smart-seq2,clinical phenotype,Survival,shortened overall survival,,clinical samples,survival analysis,analysis,clinical data,We observed a statistically significant association between tumors with high expression of the cluster 2 signature and shortened overall survival (Fig. 4c).
CT004,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Fibroblast,Fibroblast,developmental CAFs (dCAFs),"Scrg1, Sox9, Sox10, Col9a3, Chad, Mia, Spint2",30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,biological phenotype,Others,existence,,mice,Immunostaining,"Santa Cruz Biotechnology,  Abcam, Thermo Fisher",protein,"Interestingly, dCAFs were intermingled with the malignant epithelium during early stages of tumor development, whereas SCRG1-positive cells could be found both within the epithelium and in stromal streaks of late-stage tumors (Fig. 4b)."
CT005,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Fibroblast,Fibroblast,developmental CAFs (dCAFs),"Scrg1, Sox9, Sox10, Col9a3, Chad, Mia, Spint2",30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,biological phenotype,Others,origination,,mice,RNAscope in situ hybridization (RNA-ISH)," RNAscope Fluorescent

Multiplex Assay (Advanced Cell Diagnostics, USA)",RNA,"We next used RNA-ISH in order to detect dCAF-specific transcripts in tumor tissue with a variety of markers (Supple mentary Figure 5a,b). Taken together, the overlapping expression of dCAF SDE genes in both tumor epithelium and in stromal mesenchymal cells suggests that dCAFs may originate from tumor cells that have undergone an epithelial to-mesenchymal transition (EMT)."
CT006,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Fibroblast,Fibroblast,matrix CAFs (mCAFs),"CXCL14, Dcn, Lum, Vcan, Col14a1, Fbln1, Fbln2, and Smoc, Lox, Loxl1",30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,biological phenotype,Tumor Growth,decreased during tumor progression,,mice,Immunostaining,"Santa Cruz Biotechnology,  Abcam, Thermo Fisher",protein,"In contrast to vCAFs, the relative number of mCAFs decreased during tumor progression in the MMTV-PyMT mouse model (Fig. 3c)."
CT007,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Fibroblast,Fibroblast,matrix CAFs (mCAFs),"CXCL14, Dcn, Lum, Vcan, Col14a1, Fbln1, Fbln2, and Smoc, Lox, Loxl1",30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,biological phenotype,Others,existence,,mice,Immunohistochemistry (IHC) staining,"Benchmark Ultra Autostainer (Ventana Medical Systems, Tuscon, AZ, USA)",protein,"Immunostaining of the mCAF markers Fibulin-1 and PDGFRα showed high prevalence of positive cells at the invasive front of tumors, in contrast to the relatively low abundance of mCAFs in the tumor core (Fig. 3f). The two mCAF markers Fibulin-1 and PDGFRα identified a profuse infiltration of mCAFs in the tumor stroma of human breast cancer tissue (Fig. 3g, h and Supplementary Figure 4d,f)."
CT008,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Fibroblast,Fibroblast,vCAFs and mCAFs,"Mcam, Notch3, Epas1, Col18a1, Nr2f2

CXCL14, Dcn, Lum, Vcan, Col14a1, Fbln1, Fbln2, and Smoc, Lox, Loxl1",30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,clinical phenotype,Tumor Metastasis,increased risk for metastatic,,clinical samples,survival analysis,analysis,clinical data,"In strong support of the notion of CAFs as modifiers of the malignant phenotype, the vCAF gene signature was found to be an independent prognostic indicator associated with an increased risk for developing metastatic disease in both univariable and multivariable analysis in a conditional logistic regression model involving common risk factors such as lymph node status, tumor size, HER2 status, and proliferative index (Table 1). Similarly, mCAFs were also associated with risk of disseminated disease, albeit to a lesser degree (Table 1)."
CT009,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Fibroblast,Fibroblast,vCAFs and mCAFs,"Mcam, Notch3, Epas1, Col18a1, Nr2f2

CXCL14, Dcn, Lum, Vcan, Col14a1, Fbln1, Fbln2, and Smoc, Lox, Loxl1",30514914,Spatially and functionally distinct subclasses of breast cancer-associated fibroblasts revealed by single cell RNA sequencing,Nature Communications,2018,single cell transcriptome,Smart-seq2,biological phenotype,Tumor Metastasis,migration,,mice,Transwell invasion assay,MycoAlertTM Mycoplasma Detection Kit (Lonza),protein,"Finally, to obtain an experimental correlate of the invasion-promoting effects of vCAFs and mCAFs suggested by our analysis, we seeded PeRo-Bas1 breast cancer cells isolated from MMTV-PyMT mice in the upper chamber of a trans-well system. In support of our previous findings in human tumors, both vCAFs and mCAFs significantly augmented the number of cancer cells that invaded through the matrix into the lower chamber, compared to cell culture medium alone (Fig. 5j)."
CT010,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Granulocytes,Granulocytes,Granulocytes,"CD66b, S100A8, S100A9",31610266,Single-cell transcriptome analysis reveals tumor immune microenvironment heterogenicity and granulocytes enrichment in colorectal cancer liver metastases,Cancer letters,2020,single cell transcriptome,,clinical phenotype,Immune Infiltration,tumor infiltration,,cell line,transwell migration assay,Shanghai Yanjin Biotech,,This phenomenon implies that Wnt signalling pathway activation may play an important role by recruiting granulocytes and promote tumor infiltration in CRC liver metastasis. The exact role of Wnt signalling pathway activation in granulocytes during CRC liver metastasis will be explored in the future.
