Name,Type,Description
ABSOLUTE,General/Other,"A cancer CNV analysis software developed by the Broad Institute, essentially an R package, which can quantify the absolute copy number of cells, tumor purity, and ploidy. If mutation data is provided, it can also explore clones and subclones."
Alleloscope,General/Other,a method for allele-specific copy number estimation that can be applied to single cell DNA and ATAC sequencing data (separately or in combination). 
BASIC,General/Other,BASIC: BCR and TCR assembly from single cell RNA-seq
BattenBerg,General/Other,Battenberg R package for subclonal copynumber estimation
BayesPrism,General/Other,Bayesian cell Proportion Reconstruction Inferred using Statistical Marginalization (BayesPrism): A Fully Bayesian Inference of Tumor Microenvironment composition and gene expression
Bisque,General/Other,An R toolkit for estimation of cell composition from bulk expression data
BraCeR,General/Other,reconstruction of B cell receptor sequences from single-cell RNA-seq data.
B-SCITE,General/Other,is a software package to compute trees of tumor evolution by integrative use of single-cell and bulk sequencing data
CellAssign,General/Other,automatically assigns single-cell RNA-seq data to known cell types across thousands of cells accounting for patient and batch specific effects.
CellChat,General/Other,enables the inferrence of cell-cell communication from multiple spatially resolved transcriptomics datasets.
CellPhoneDB,General/Other,"a publicly available repository of HUMAN curated receptors, ligands and their interactions paired with a tool to interrogate your own single-cell transcriptomics data"
CIBERSORT,General/Other,"CIBERSORT is an analytical tool to impute gene expression profiles and provide an estimation of the abundances of member cell types in a mixed cell population, using gene expression data."
CIBERSORTx,General/Other,"an analytical tool from the Alizadeh Lab and Newman Lab to impute gene expression profiles and provide an estimation of the abundances of member cell types in a mixed cell population, using gene expression data."
CloudNeo,General/Other,A cloud pipeline for identifying patient-specific tumor neoantigens
CONICS,General/Other,COpy-Number analysis In single-Cell RNA-Sequencing
ConsensusTME,General/Other,The ConsensusTME package provides a integrative tool for R that uses a consensus approach to generating cancer specific signatures for multiple cell types found within the tumour environment.
CPE,General/Other,"Consensus Purity Estimation (CPE) is a method for determining tumor purity, based on a comprehensive assessment of ABSOLUTE, ESTIMATE, LUMP, and IHC."
Enclone,General/Other,VDJ Clonotyping & Analysis Tools
EPIC,General/Other,"Repository for the R package EPIC, to Estimate the Proportion of Immune and Cancer cells from bulk gene expression data."
ESTIMATE,General/Other,"provides researchers with scores for tumor purity, the level of stromal cells present, and the infiltration level of immune cells in tumor tissues based on expression data"
FastClone,General/Other,"a fast algorithm to infer tumour heterogeneity. Given somatic mutation frequencies and copy number data, FastClone infers subclonal composition and phylogeny."
Harmony,General/Other,A method for integrating and analyzing single-cell data across datasets. Use with subprocess calls.
HATCHet,General/Other,"An R package for tumor genome analysis, particularly for estimating tumor purity and copy number variation (CNV)."
IGoR,General/Other,IGoR is a C++ software designed to infer V(D)J recombination related processes from sequencing data. 
Immunarch,General/Other,an R Package for Fast and Painless Exploration of Single-cell and Bulk T-cell/Antibody Immune Repertoires
ImmunoMAP,General/Other,Structural TCR Repertoire Analytics Package
ImReP,General/Other,ImReP is a computational method for rapid and accurate profiling of the adaptive immune repertoire from regular RNA-Seq data.
ImSig,General/Other,Immune Cell Gene Signatures for Profiling the Microenvironment of Solid Tumours
inferCNV,General/Other,Inferring CNV from Single-Cell RNA-Seq
LiRA,General/Other,a computational tool for removing amplification artifacts from single-cell DNA sequencing data and estimating mutation rates in single cells. 
LUMP,General/Other,LUMP defines tumor purity based on tumor-specific unmethylated immune CpG sites.
MARS,General/Other,reads a structural multiple RNA alignment (e.g. from LaRA) and derives fuzzy stem loop descriptors from it. 
MCP-counter,General/Other,"a tool to estimate the immune and stromal composition of heterogeneous tissue, from transcriptomic data"
